Potential (custom) / Current (µA),GR1,GR2,GR3
-0.78521728515625,-11.1541748046875,-12.98828125,-16.094970703125
-0.78033447265625,-10.6964111328125,-12.506103515625,-15.509033203125
-0.77545166015625,-10.2813720703125,-12.0697021484375,-14.9688720703125
-0.77056884765625,-9.9090576171875,-11.6455078125,-14.46533203125
-0.76568603515625,-9.5458984375,-11.248779296875,-13.9739990234375
-0.76080322265625,-9.1949462890625,-10.870361328125,-13.494873046875
-0.75592041015625,-8.87451171875,-10.51025390625,-13.043212890625
-0.75103759765625,-8.5479736328125,-10.150146484375,-12.60986328125
-0.74615478515625,-8.2427978515625,-9.808349609375,-12.1856689453125
-0.74127197265625,-7.9376220703125,-9.4757080078125,-11.7645263671875
-0.73638916015625,-7.635498046874999,-9.1217041015625,-11.36474609375
-0.73150634765625,-7.3577880859375,-8.8104248046875,-10.968017578125
-0.72662353515625,-7.080078125,-8.502197265625,-10.589599609375
-0.72174072265625,-6.8115234375,-8.209228515625,-10.2142333984375
-0.71685791015625,-6.5521240234375,-7.904052734375,-9.8480224609375
-0.71197509765625,-6.298828125,-7.611083984375,-9.4970703125
-0.70709228515625,-6.0546875,-7.342529296875,-9.1583251953125
-0.70220947265625,-5.8197021484375,-7.0556640625,-8.819580078125
-0.69732666015625,-5.5938720703125,-6.8023681640625,-8.4869384765625
-0.69244384765625,-5.3558349609375,-6.53076171875,-8.172607421875
-0.68756103515625,-5.1300048828125,-6.28662109375,-7.849121093749999
-0.68267822265625,-4.9102783203125,-6.0394287109375,-7.55615234375
-0.67779541015625,-4.7119140625,-5.792236328125,-7.2540283203125
-0.67291259765625,-4.50103759765625,-5.5572509765625,-6.9671630859375
-0.66802978515625,-4.3243408203125,-5.33447265625,-6.683349609375
-0.66314697265625,-4.13421630859375,-5.11474609375,-6.4056396484375
-0.65826416015625,-3.9428710937500004,-4.888916015625,-6.1492919921875
-0.65338134765625,-3.77044677734375,-4.6875,-5.902099609375
-0.64849853515625,-3.5894775390625,-4.49066162109375,-5.645751953125
-0.64361572265625,-3.42987060546875,-4.30023193359375,-5.3985595703125
-0.63873291015625,-3.258056640625,-4.11102294921875,-5.1666259765625
-0.63385009765625,-3.09783935546875,-3.9151000976562496,-4.931640625
-0.62896728515625,-2.94647216796875,-3.7469482421875,-4.7210693359375
-0.62408447265625,-2.78594970703125,-3.56201171875,-4.5135498046875
-0.61920166015625,-2.64068603515625,-3.399658203125,-4.29443359375
-0.61431884765625,-2.51708984375,-3.22906494140625,-4.09637451171875
-0.60943603515625,-2.393798828125,-3.08807373046875,-3.8946533203125004
-0.60455322265625,-2.26104736328125,-2.926025390625,-3.720703125
-0.59967041015625,-2.13836669921875,-2.78900146484375,-3.53424072265625
-0.59478759765625,-2.00714111328125,-2.64892578125,-3.36334228515625
-0.58990478515625,-1.89849853515625,-2.501220703125,-3.19183349609375
-0.58502197265625,-1.78497314453125,-2.37274169921875,-3.0352783203125
-0.58013916015625,-1.6845703125,-2.242431640625,-2.87445068359375
-0.57525634765625,-1.57623291015625,-2.1234130859375,-2.71270751953125
-0.57037353515625,-1.46942138671875,-1.9973754882812498,-2.58331298828125
-0.56549072265625,-1.38275146484375,-1.900634765625,-2.44110107421875
-0.56060791015625,-1.270751953125,-1.7822265625,-2.2979736328125
-0.55572509765625,-1.18988037109375,-1.676025390625,-2.17376708984375
-0.55084228515625,-1.10260009765625,-1.57989501953125,-2.03887939453125
-0.54595947265625,-1.0284423828125,-1.49383544921875,-1.91925048828125
-0.54107666015625,-0.936279296875,-1.38641357421875,-1.8023681640625
-0.53619384765625,-0.8648681640625,-1.2957763671875,-1.7041015625
-0.53131103515625,-0.7965087890625,-1.2054443359375,-1.591796875
-0.52642822265625,-0.71624755859375,-1.11602783203125,-1.484375
-0.52154541015625,-0.6640625,-1.04736328125,-1.36627197265625
-0.51666259765625,-0.5712890625,-0.97015380859375,-1.27960205078125
