Title: Title
Label: i vs E (AUT50246)
-0.392608642578125 -1.6094970703125E-05
-0.390167236328125 -1.5509033203125E-05
-0.387725830078125 -1.49688720703125E-05
-0.385284423828125 -1.446533203125E-05
-0.382843017578125 -1.39739990234375E-05
-0.380401611328125 -1.3494873046875E-05
-0.377960205078125 -1.3043212890625E-05
-0.375518798828125 -1.260986328125E-05
-0.373077392578125 -1.21856689453125E-05
-0.370635986328125 -1.17645263671875E-05
-0.368194580078125 -1.136474609375E-05
-0.365753173828125 -1.0968017578125E-05
-0.363311767578125 -1.0589599609375E-05
-0.360870361328125 -1.02142333984375E-05
-0.358428955078125 -9.8480224609375E-06
-0.355987548828125 -9.4970703125E-06
-0.353546142578125 -9.1583251953125E-06
-0.351104736328125 -8.819580078125E-06
-0.348663330078125 -8.4869384765625E-06
-0.346221923828125 -8.172607421875E-06
-0.343780517578125 -7.84912109375E-06
-0.341339111328125 -7.55615234375E-06
-0.338897705078125 -7.2540283203125E-06
-0.336456298828125 -6.9671630859375E-06
-0.334014892578125 -6.683349609375E-06
-0.331573486328125 -6.4056396484375E-06
-0.329132080078125 -6.1492919921875E-06
-0.326690673828125 -5.902099609375E-06
-0.324249267578125 -5.645751953125E-06
-0.321807861328125 -5.3985595703125E-06
-0.319366455078125 -5.1666259765625E-06
-0.316925048828125 -4.931640625E-06
-0.314483642578125 -4.7210693359375E-06
-0.312042236328125 -4.5135498046875E-06
-0.309600830078125 -4.29443359375E-06
-0.307159423828125 -4.09637451171875E-06
-0.304718017578125 -3.8946533203125E-06
-0.302276611328125 -3.720703125E-06
-0.299835205078125 -3.53424072265625E-06
-0.297393798828125 -3.36334228515625E-06
-0.294952392578125 -3.19183349609375E-06
-0.292510986328125 -3.0352783203125E-06
-0.290069580078125 -2.87445068359375E-06
-0.287628173828125 -2.71270751953125E-06
-0.285186767578125 -2.58331298828125E-06
-0.282745361328125 -2.44110107421875E-06
-0.280303955078125 -2.2979736328125E-06
-0.277862548828125 -2.17376708984375E-06
-0.275421142578125 -2.03887939453125E-06
-0.272979736328125 -1.91925048828125E-06
-0.270538330078125 -1.8023681640625E-06
-0.268096923828125 -1.7041015625E-06
-0.265655517578125 -1.591796875E-06
-0.263214111328125 -1.484375E-06
-0.260772705078125 -1.36627197265625E-06
-0.258331298828125 -1.27960205078125E-06
-0.255889892578125 -1.19415283203125E-06
-0.253448486328125 -1.10504150390625E-06
-0.251007080078125 -1.0137939453125E-06
-0.248565673828125 -9.2498779296875E-07
-0.246124267578125 -8.5662841796875E-07
-0.243682861328125 -7.6568603515625E-07
-0.241241455078125 -6.9488525390625E-07
-0.238800048828125 -6.280517578125E-07
-0.236358642578125 -5.6884765625E-07
-0.233917236328125 -4.840087890625E-07
-0.231475830078125 -4.16259765625E-07
-0.229034423828125 -3.6407470703125E-07
-0.226593017578125 -3.021240234375E-07
-0.224151611328125 -2.459716796875E-07
-0.221710205078125 -1.94091796875E-07
-0.219268798828125 -1.36749267578125E-07
-0.216827392578125 -8.3648681640625E-08
-0.214385986328125 -3.7445068359375E-08
-0.211944580078125 2.459716796875E-08
-0.209503173828125 7.3822021484375E-08
-0.207061767578125 1.309814453125E-07
-0.204620361328125 1.749267578125E-07
-0.202178955078125 2.1728515625E-07
-0.199737548828125 2.6153564453125E-07
-0.197296142578125 3.0517578125E-07
-0.194854736328125 3.3905029296875E-07
-0.192413330078125 3.857421875E-07
-0.189971923828125 4.193115234375E-07
-0.187530517578125 4.6783447265625E-07
-0.185089111328125 5.029296875E-07
-0.182647705078125 5.450439453125E-07
-0.180206298828125 5.8502197265625E-07
-0.177764892578125 6.1614990234375E-07
-0.175323486328125 6.6436767578125E-07
-0.172882080078125 6.8634033203125E-07
-0.170440673828125 7.3486328125E-07
-0.167999267578125 7.6263427734375E-07
-0.165557861328125 8.1024169921875E-07
-0.163116455078125 8.306884765625E-07
-0.160675048828125 8.770751953125E-07
-0.158233642578125 9.027099609375E-07
-0.155792236328125 9.2987060546875E-07
-0.153350830078125 9.5977783203125E-07
-0.150909423828125 1.00372314453125E-06
-0.148468017578125 1.03363037109375E-06
-0.146026611328125 1.0638427734375E-06
-0.143585205078125 1.10870361328125E-06
-0.141143798828125 1.1273193359375E-06
-0.138702392578125 1.1651611328125E-06
-0.136260986328125 1.19232177734375E-06
-0.133819580078125 1.21673583984375E-06
-0.131378173828125 1.2481689453125E-06
-0.128936767578125 1.2738037109375E-06
-0.126495361328125 1.31103515625E-06
-0.124053955078125 1.3323974609375E-06
-0.121612548828125 1.36962890625E-06
-0.119171142578125 1.39007568359375E-06
-0.116729736328125 1.43157958984375E-06
-0.114288330078125 1.4459228515625E-06
-0.111846923828125 1.47430419921875E-06
-0.109405517578125 1.52191162109375E-06
-0.106964111328125 1.53106689453125E-06
-0.104522705078125 1.5594482421875E-06
-0.102081298828125 1.59637451171875E-06
-0.099639892578125 1.62322998046875E-06
-0.097198486328125 1.64276123046875E-06
-0.094757080078125 1.6552734375E-06
-0.092315673828125 1.70166015625E-06
-0.089874267578125 1.72607421875E-06
-0.087432861328125 1.7529296875E-06
-0.084991455078125 1.76666259765625E-06
-0.082550048828125 1.8096923828125E-06
-0.080108642578125 1.8206787109375E-06
-0.077667236328125 1.85577392578125E-06
-0.075225830078125 1.881103515625E-06
-0.072784423828125 1.90032958984375E-06
-0.070343017578125 1.9281005859375E-06
-0.067901611328125 1.95465087890625E-06
-0.065460205078125 1.973876953125E-06
-0.063018798828125 1.99188232421875E-06
-0.060577392578125 2.032470703125E-06
