Potential (mV) / Current (µA)	testset1	testset2
876.574707	27.699999999999996	67892.7
879.016113	27.9	68382.9
881.45752	28.1	68873.1
883.898926	28.2	69118.20000000001
886.340332	28.4	69608.4
888.781738	28.600000000000005	70098.6
891.223145	28.8	70588.8
893.664551	28.999999999999996	71079.0
896.105957	29.2	71569.2
898.547363	29.4	72059.4
900.98877	29.7	72794.7
903.430176	29.999999999999996	73530.0
905.871582	30.2	74020.2
908.312988	30.5	74755.49999999999
910.754395	30.799999999999997	75490.8
913.195801	31.099999999999998	76226.1
915.637207	31.4	76961.39999999998
918.078613	31.7	77696.7
920.52002	32.0	78432.0
922.961426	32.4	79412.4
925.402832	32.7	80147.7
927.844238	33.1	81128.1
930.285645	33.5	82108.5
932.727051	33.9	83088.9
935.168457	34.4	84314.39999999998
937.609863	34.89999999999999	85539.9
940.05127	35.3	86520.29999999999
942.492676	35.70000000000001	87500.7
944.934082	36.2	88726.2
947.375488	36.8	90196.8
949.816895	37.3	91422.30000000002
952.258301	37.9	92892.9
954.699707	38.6	94608.6
957.141113	39.1	95834.1
959.58252	39.7	97304.70000000001
962.023926	40.3	98775.30000000002
964.465332	41.0	100491.0
966.906738	41.8	102451.8
969.348145	42.4	103922.4
971.789551	43.20000000000001	105883.19999999998
974.230957	43.900000000000006	107598.9
976.672363	44.7	109559.7
979.11377	45.6	111765.59999999999
981.555176	46.3	113481.3
983.996582	47.2	115687.2
986.437988	48.1	117893.1
988.879395	49.0	120099.0
991.320801	50.0	122550.0
993.762207	50.800000000000004	124510.79999999999
996.203613	51.9	127206.89999999998
998.64502	52.900000000000006	129657.9
1001.086426	53.900000000000006	132108.9
998.64502	44.0	107844.00000000001
996.203613	38.2	93628.2
993.762207	33.8	82843.79999999999
991.320801	30.1	73775.1
988.879395	26.8	65686.8
986.437988	24.0	58824.0
983.996582	21.4	52451.4
981.555176	18.9	46323.9
979.11377	16.8	41176.8
976.672363	14.800000000000002	36274.8
974.230957	12.9	31617.900000000005
971.789551	11.2	27451.199999999997
969.348145	9.629999999999999	23603.13
966.906738	8.18	20049.18
964.465332	6.79	16642.29
962.023926	5.62	13774.619999999999
959.58252	4.42	10833.42
957.141113	3.39	8308.89
954.699707	2.37	5808.87
952.258301	1.46	3578.46
949.816895	0.652	1598.0520000000001
947.375488	-0.11699999999999999	-286.767
944.934082	-0.777	-1904.4270000000001
942.492676	-1.37	-3357.8700000000003
940.05127	-1.91	-4681.410000000001
937.609863	-2.37	-5808.87
935.168457	-2.83	-6936.33
932.727051	-3.1999999999999997	-7843.2
930.285645	-3.58	-8774.58
927.844238	-3.75	-9191.25
925.402832	-4.05	-9926.55
922.961426	-4.21	-10318.71
920.52002	-4.4	-10784.4
918.078613	-4.5	-11029.5
915.637207	-4.58	-11225.58
913.195801	-4.69	-11495.19
910.754395	-4.7299999999999995	-11593.23
908.312988	-4.7299999999999995	-11593.23
905.871582	-4.68	-11470.68
903.430176	-4.69	-11495.19
900.98877	-4.63	-11348.13
898.547363	-4.59	-11250.09
896.105957	-4.53	-11103.03
893.664551	-4.49	-11004.99
891.223145	-4.46	-10931.460000000001
888.781738	-4.35	-10661.85
886.340332	-4.279999999999999	-10490.279999999999
883.898926	-4.24	-10392.24
881.45752	-4.140000000000001	-10147.140000000001
879.016113	-4.05	-9926.55
876.574707	-4.08	-10000.08
874.133301	-3.95	-9681.449999999999
871.691895	-3.9299999999999997	-9632.43
869.250488	-3.9	-9558.9
866.809082	-3.8600000000000003	-9460.86
864.3676760000001	-3.8	-9313.8
861.92627	-3.74	-9166.74
859.484863	-3.77	-9240.27
857.043457	-3.75	-9191.25
854.6020510000001	-3.7199999999999998	-9117.72
852.160645	-3.73	-9142.23
849.719238	-3.73	-9142.23
847.277832	-3.74	-9166.74
844.8364260000001	-3.75	-9191.25
842.39502	-3.74	-9166.74
839.953613	-3.75	-9191.25
837.512207	-3.8	-9313.8
835.0708010000001	-3.8299999999999996	-9387.33
832.629395	-3.84	-9411.84
830.187988	-3.9	-9558.9
827.746582	-3.9400000000000004	-9656.939999999999
825.3051760000001	-3.97	-9730.47
822.86377	-4.0600000000000005	-9951.06
820.422363	-4.09	-10024.59
817.980957	-4.18	-10245.18
815.5395510000001	-4.23	-10367.73
813.098145	-4.279999999999999	-10490.279999999999
810.656738	-4.3	-10539.299999999997
808.215332	-4.380000000000001	-10735.38
805.7739260000001	-4.45	-10906.95
803.33252	-4.48	-10980.480000000001
800.891113	-4.57	-11201.07
798.449707	-4.62	-11323.619999999999
796.0083010000001	-4.69	-11495.19
793.566895	-4.72	-11568.72
791.125488	-4.8	-11764.8
788.684082	-4.86	-11911.86
786.2426760000001	-4.909999999999999	-12034.41
783.80127	-4.97	-12181.47
781.359863	-5.010000000000001	-12279.51
778.918457	-5.1	-12500.1
776.4770510000001	-5.1499999999999995	-12622.65
774.035645	-5.21	-12769.710000000001
771.594238	-5.29	-12965.789999999999
769.152832	-5.33	-13063.83
766.7114260000001	-5.37	-13161.87
764.27002	-5.43	-13308.93
761.828613	-5.51	-13505.01
759.387207	-5.55	-13603.050000000001
756.9458010000001	-5.63	-13799.13
754.504395	-5.65	-13848.15
752.062988	-5.76	-14117.76
749.621582	-5.77	-14142.27
747.1801760000001	-5.84	-14313.84
744.73877	-5.88	-14411.880000000001
742.297363	-5.95	-14583.449999999999
739.855957	-6.01	-14730.51
737.4145510000001	-6.08	-14902.08
734.973145	-6.16	-15098.16
732.531738	-6.2	-15196.200000000003
730.090332	-6.24	-15294.24
727.6489260000001	-6.34	-15539.34
725.20752	-6.38	-15637.38
722.766113	-6.430000000000001	-15759.929999999998
720.324707	-6.45	-15808.949999999999
717.8833010000001	-6.54	-16029.539999999999
715.441895	-6.61	-16201.11
713.000488	-6.66	-16323.66
710.559082	-6.7	-16421.7
708.1176760000001	-6.78	-16617.78
705.67627	-6.84	-16764.84
703.2348629999999	-6.900000000000001	-16911.900000000005
700.793457	-6.95	-17034.45
698.3520510000001	-7.02	-17206.02
695.9106449999999	-7.08	-17353.079999999998
693.4692379999999	-7.15	-17524.649999999998
691.027832	-7.21	-17671.71
688.5864260000001	-7.279999999999999	-17843.28
686.1450199999999	-7.35	-18014.85
683.7036129999999	-7.43	-18210.93
681.262207	-7.49	-18357.99
678.8208010000001	-7.57	-18554.07
676.3793949999999	-7.63	-18701.13
673.9379879999999	-7.710000000000001	-18897.210000000003
671.496582	-7.8	-19117.8
669.0551760000001	-7.9	-19362.9
666.6137699999999	-7.94	-19460.94
664.1723629999999	-8.04	-19706.04
661.730957	-8.14	-19951.14
659.2895510000001	-8.23	-20171.73
656.8481449999999	-8.35	-20465.850000000002
654.4067379999999	-8.47	-20759.969999999998
651.965332	-8.590000000000002	-21054.09
649.5239260000001	-8.68	-21274.68
647.0825199999999	-8.8	-21568.8
644.6411129999999	-8.92	-21862.920000000002
642.199707	-9.049999999999999	-22181.550000000003
639.7583010000001	-9.19	-22524.69
637.3168949999999	-9.35	-22916.85
634.8754879999999	-9.52	-23333.52
632.434082	-9.66	-23676.66
629.9926760000001	-9.83	-24093.329999999998
627.5512699999999	-10.0	-24510.0
625.1098629999999	-10.2	-25000.2
622.668457	-10.4	-25490.400000000005
620.2270510000001	-10.6	-25980.6
617.7856449999999	-10.800000000000002	-26470.799999999996
615.3442379999999	-11.0	-26961.000000000004
612.902832	-11.2	-27451.199999999997
610.4614260000001	-11.5	-28186.5
608.0200199999999	-11.7	-28676.7
605.5786129999999	-12.0	-29412.0
603.137207	-12.2	-29902.2
600.6958010000001	-12.6	-30882.599999999995
598.2543949999999	-12.799999999999999	-31372.8
595.8129879999999	-13.1	-32108.099999999995
593.371582	-13.4	-32843.4
590.9301760000001	-13.699999999999998	-33578.7
